sn,Post Title,Author,Post Count,View Count,Time,Date,Section
2611,Http://redroofcity.com Debuts In Ibadan,talk2valen,0,382,2:04pm,"Sep 04, 2013",EntertainmentDB
2612,Http://redroofcity.com Debuts In Ibadan,talk2valen,0,271,1:58pm,"Sep 04, 2013",EntertainmentDB
2613,Dillish Interviewed By Nigel Nassar From Uganda.,topclubv,0,288,1:47pm,"Sep 04, 2013",EntertainmentDB
2614,Rapper M.I Becomes Lagos State Ambassador For Energy,Opeedo,0,300,1:42pm,"Sep 04, 2013",EntertainmentDB
2615,Jay Hommie - Loud 'N' Proud Entertaiment Present The Latest Dude,enyiaud,0,418,1:33pm,"Sep 04, 2013",EntertainmentDB
2616,Freeze Coolfm And Teebillz Disagree With Forbes Top 10 African Richest List,gistyinka,0,319,12:08pm,"Sep 04, 2013",EntertainmentDB
2617,"Do U Knw Dat,,a Yoruba\igbo Unity Wil Make D North Fill Insecure.",okwudiriokoro,3,367,11:51am,"Sep 04, 2013",EntertainmentDB
2618,N33bn Police Pension Scam: EFCC Gets Court Order To Seize Suspects’ Property,moscovite7,0,256,10:08am,"Sep 04, 2013",EntertainmentDB
2619,Nelly Oscayn Hits Naeto C's Birthday At Owerri Phantom Hall,Oscarmadrid,0,431,8:58am,"Sep 04, 2013",EntertainmentDB
2620,"Nigeria Entertainment Awards 2013, Winners And Picutres",Nobody,0,364,8:47am,"Sep 04, 2013",EntertainmentDB
2621,Nigerian Stowaway Boy Handed Over To Edo State Officials,Frabidel,2,468,5:51am,"Sep 04, 2013",EntertainmentDB
2622,Forbes 10 Richest Musicians In Africa (Don Jazzy @ No 2),palabest,7,47213,11:26pm,"Sep 03, 2013",EntertainmentDB
2623,"Tiwa Savage, Wizkid & Ice Prince Nominated For 2013 Mobo Awards",9jaflave,0,581,11:16pm,"Sep 03, 2013",EntertainmentDB
2624,Nigeria Entertainment Awards; Who Deserved It?,idethompson,0,310,7:33pm,"Sep 03, 2013",EntertainmentDB
2625,Complaint To Upcoming Artist And Why They Will Remain Upcoming,gozie143,0,246,2:54pm,"Sep 03, 2013",EntertainmentDB
2626,Chris Ihidero Unedited: Chris Ihidero ‘interviews’ Pastor Biodun.very Funny,Frabidel,3,484,12:48pm,"Sep 03, 2013",EntertainmentDB
2627,"Dreams Do Come True, As Diana Nyad Swims From Cuba To Florida",badoski2k3,0,333,9:12am,"Sep 03, 2013",EntertainmentDB
2628,Check Out Obafemi Martins Car And House,badoski2k3,3,1133,8:48am,"Sep 03, 2013",EntertainmentDB
2629,2013 Nigeria Entertainment Awards: Full List Of The Winners,Nobody,2,328,8:07am,"Sep 03, 2013",EntertainmentDB
2630,Jayz N Beyonce Attend  Traditional Wedding In Naija,ChapelleS,16,21235,5:38am,"Sep 03, 2013",EntertainmentDB
2631,Between Pasuma And Saheed Osupa,Toonice,0,418,5:35am,"Sep 03, 2013",EntertainmentDB
2632,"Don Jazzy, P Square, D’banj Tops Forbes Richest Artistes Lists",Nobody,4,443,12:03am,"Sep 03, 2013",EntertainmentDB
2633,Fans Of Naija's Prettiest Face On Fb.,judaboom,0,357,10:17pm,"Sep 02, 2013",EntertainmentDB
2634,PDP Crisis: Obasanjo Sues For Peace,moscovite7,0,226,6:35pm,"Sep 02, 2013",EntertainmentDB
2635,"Calabar Girls Challenge The Rapper ""HODGreat""  With N500,000 Cheque",QueenBekky,2,464,6:14pm,"Sep 02, 2013",EntertainmentDB
2636,Top 5 Ugliets Babes On Nigerian Television/entertainment Scene.,Afroconnect,0,804,4:31pm,"Sep 02, 2013",EntertainmentDB
2637,Job Position For A Correspondent,ifeslim,0,235,3:43pm,"Sep 02, 2013",EntertainmentDB
2638,I Don't Have Any Man In My Life; Says Actress Dayo Amusa,angelcj,0,1869,2:09pm,"Sep 02, 2013",EntertainmentDB
2639,"Photos: Big Brother Nigeria Winner, Katung Aduwak's White Wedding",Nobody,0,1529,2:08pm,"Sep 02, 2013",EntertainmentDB
2640,CONGRATS: As Dammy Krane And Mum Re-unioned After 10 Years,bamguy,4,436,12:09pm,"Sep 02, 2013",EntertainmentDB
2641,Pls Pals Help Listen And Rate Dis Song,solutionnetwork,0,234,12:02pm,"Sep 02, 2013",EntertainmentDB
2642,Winners From The Just Concluded #NEA2013 [nigeria Entertainment Awards],Nobody,2,556,10:47am,"Sep 02, 2013",EntertainmentDB
2643,Miss Ambassador For Peace Finalist,Nobody,5,610,8:53am,"Sep 02, 2013",EntertainmentDB
2644,EXCLUSIVE Pics From The NEA Awards In New York,Nobody,0,597,8:09am,"Sep 02, 2013",EntertainmentDB
2645,EFCC Wants Stephaine Okereke Arrested Over N50M  Largesse donated By Akpabi,Frabidel,2,572,2:25am,"Sep 02, 2013",EntertainmentDB
2646,Environmental Impacts Of Chlorofluorocarbons,geoneer,0,233,9:48pm,"Sep 01, 2013",EntertainmentDB
2647,Photos From Apostle Madubuko And Emmy Kosgei's White Wedding,Opeedo,0,861,9:38pm,"Sep 01, 2013",EntertainmentDB
2648,"""The Man Who Lived Without Eating Or Drinking For  70 Years""",linpok,0,588,8:19pm,"Sep 01, 2013",EntertainmentDB
2649,I Don’t Fall Inlove….bba Is My Last Reality Show --- Melvin Oduah,kmanning,2,548,7:31pm,"Sep 01, 2013",EntertainmentDB
2650,'What Is It About Tonto Dike And Gold' Check Out Her Golden Machines...,badoski2k3,0,534,7:26pm,"Sep 01, 2013",EntertainmentDB
2651,"Some Of U Should Please,try Rate Dis Picture Outa 10",okwudiriokoro,6,452,5:09pm,"Sep 01, 2013",EntertainmentDB
2652,A Picture Of Monalisa Chinda And Her Child.,AbdulAdam56,4,1008,5:05pm,"Sep 01, 2013",EntertainmentDB
2653,OMG: Tonto Dikeh Attempted Suicide Again But Now In Coma,aaron6190,2,656,1:44pm,"Sep 01, 2013",EntertainmentDB
2654,11-year-old Boy Admitted Into University,badoski2k3,0,289,1:38pm,"Sep 01, 2013",EntertainmentDB
2655,Rihanna Disses Taylor Swift! Says She’s Not Cute,coaj,0,507,1:16pm,"Sep 01, 2013",EntertainmentDB
2656,Win N2500 Every Week For Commenting On A Blog,aaron6190,0,323,10:57am,"Sep 01, 2013",EntertainmentDB
2657,A Word For The Wise,Nobody,6,351,7:40am,"Sep 01, 2013",EntertainmentDB
2658,Happy New Month To Frabidel's Blog Readers...love You All,Frabidel,0,272,4:44am,"Sep 01, 2013",EntertainmentDB
2659,Woman Wakes From Coma To Discover She Is Three Months Pregnant.,valicious1,3,377,10:31pm,"Aug 31, 2013",EntertainmentDB
2660,"Davido’s Skelewu Competition!in The Toilet,in Office N  In Super Skimpy Shorts..",Tolzeal,3,1750,8:15pm,"Aug 31, 2013",EntertainmentDB
2661,Photos-check Out Ayo Adesanya & Her Son,Frabidel,2,614,6:22pm,"Aug 31, 2013",EntertainmentDB
2662,Can You Allow Your Fiancee /fiance Go For The Big Brother Show,Ifyikillz,5,373,6:21pm,"Aug 31, 2013",EntertainmentDB
2663,"Black Jesus Chopped To Pieces, He Eats Raw Brains And Make Stew With manlinesses",lobell,4,860,6:20pm,"Aug 31, 2013",EntertainmentDB
2664,I Am The Most Googled Woman In Africa -kemi Olunloyo,9jantatainment,2,678,6:18pm,"Aug 31, 2013",EntertainmentDB
2665,Ice Prince Acquire Bentley GT Coupe,sotonyej,4,625,6:01pm,"Aug 31, 2013",EntertainmentDB
2666,"Rhodiesworld Celebrity Diary For August 2013, Omotola Jalade In Spot-light",rhodiesworld,3,479,5:07pm,"Aug 31, 2013",EntertainmentDB
2667,I’m Sorry For Embarrassing Nigerians - Beverly,Frabidel,5,450,4:31pm,"Aug 31, 2013",EntertainmentDB
2668,Help A Child Born 29th February,Donmichaelz,2,283,2:22pm,"Aug 31, 2013",EntertainmentDB
2669,Breaking News !!! Niger Delta Republic On Facebook !!!,Messenger007,0,322,12:59pm,"Aug 31, 2013",EntertainmentDB
2670,How Good Is Etisalat Network ?,Wisdomkosi,0,262,12:54pm,"Aug 31, 2013",EntertainmentDB
2671,Davido  Skelewu competition <<Another HILARIOUS group  Dance Video>>,Netz2,3,2116,11:49am,"Aug 31, 2013",EntertainmentDB
2672,What Has Happened To Dancehall /rub A Dub,myners007,0,298,9:22am,"Aug 31, 2013",EntertainmentDB
2673,"A Nairalander Needs To Know. ""Love Doesn't Really Exist!! Or Does It""?",Nobody,0,240,6:49am,"Aug 31, 2013",EntertainmentDB
2674,G10 Stars,kontrol,0,368,11:45pm,"Aug 30, 2013",EntertainmentDB
2675,Help A Nairalander Vote For The Nollywood Talent Hunt Show,Nobody,4,398,11:38pm,"Aug 30, 2013",EntertainmentDB
2676,Tweet Of The Day - From Burna Boy,opeeedo,0,295,8:55pm,"Aug 30, 2013",EntertainmentDB
2677,Glo Turns 10 With Further Expansion Planned,pisolution,0,222,7:18pm,"Aug 30, 2013",EntertainmentDB
2678,Finally The Reason Behind Chris Brown And Rihanna’s Breakup Revealed,coaj,0,672,3:57pm,"Aug 30, 2013",EntertainmentDB
2679,Happy Birthday To Actor Ime “bishop” Umoh(AKA OKON LAGOS),Wisdytech,0,3711,2:28pm,"Aug 30, 2013",EntertainmentDB
2680,Actress Kate Henshaw Shares New Photos Of Her After Working Out,whsipernaija,0,522,1:51pm,"Aug 30, 2013",EntertainmentDB
2681,Actress Yvonne Jegede Has The Hottest Boobs In Nollywood..heres Proof!,whsipernaija,0,2358,1:11pm,"Aug 30, 2013",EntertainmentDB
2682,"Iyanya Signs $350,000 Endorsement Deal With Zinox Computers",adtiezy1,2,456,12:53pm,"Aug 30, 2013",EntertainmentDB
2683,Get Ready! Yada.ng Relaunches As Student Pulse Under Pulse.ng,Yada360,0,363,12:01pm,"Aug 30, 2013",EntertainmentDB
2684,D banj looks forward to sign Oscayn C,Oscarmadrid,0,527,11:54am,"Aug 30, 2013",EntertainmentDB
2685,Photo! Super Eagles Captain Joseph Yobo Bathing His Son Joey,houseretail,3,1804,10:23am,"Aug 30, 2013",EntertainmentDB
2686,Photo : Tonto Dikeh Shows Off Her No-make Up Face,whispernaija2,2,536,8:04am,"Aug 30, 2013",EntertainmentDB
2687,George Zimmerman's Wife Must Perform 100 Hours Of Community Service,Slimfitgen,0,328,4:56am,"Aug 30, 2013",EntertainmentDB
2688,An Indian Baby With 94 Cm Head Recovers After Successful Surgery,badoski2k3,0,381,4:00am,"Aug 30, 2013",EntertainmentDB
2689,Photo-peter Okoye's Picture Of Him spraying Dollars In A Strip Club Was Fake,Frabidel,0,554,1:42am,"Aug 30, 2013",EntertainmentDB
2690,"PHOTOS: Stunningly Beautiful New Photos Of Singer, Emma Nyra",cleangurl,2,456,12:08am,"Aug 30, 2013",EntertainmentDB
2691,Send Messages For FREE!!!!,DesseysBlog,0,427,11:53pm,"Aug 29, 2013",EntertainmentDB
2692,I Never Really Liked Angelo - Beverly's Mom Says She's Glad Her Daughter Is Back,chi2012,3,458,10:29pm,"Aug 29, 2013",EntertainmentDB
2693,"EXPOSED:  Comedian Gbenga Adeyinka’s Wants To Sex  KWAM 1?s Daughter, Honey B",whispernaija2,3,2560,10:18pm,"Aug 29, 2013",EntertainmentDB
2694,2face Idibia Features In The Flood With Love Campaign (DAY-7),treysongs,2,341,8:32pm,"Aug 29, 2013",EntertainmentDB
2695,Admission Assistance  Contact 07069666340,frank011,0,234,8:23pm,"Aug 29, 2013",EntertainmentDB
2696,What A Surprise! If Tonto Dikeh Will Support Clica Campaign,idethompson,0,2053,6:09pm,"Aug 29, 2013",EntertainmentDB
2697,B-R-E-A-K-I-N-G -N-E-W-S Beverly Osu Hospitalized,houseretail,0,524,5:58pm,"Aug 29, 2013",EntertainmentDB
2698,Afrocandy Sends An Open Letter To Beverly Osu,badoski2k3,2,360,5:27pm,"Aug 29, 2013",EntertainmentDB
2699,Ayodeji,tanton,12,1004,4:51pm,"Aug 29, 2013",EntertainmentDB
2700,PHOTOS: Check Out Actress Yvonne Okoro's Sexy Pose In Glitz Africa Magazine,cleangurl,0,1629,4:49pm,"Aug 29, 2013",EntertainmentDB
2701,P-square Rocks Houston With Stunning Performance,badoski2k3,0,1083,4:42pm,"Aug 29, 2013",EntertainmentDB
2702,"PHOTO: Doris Simeon, Daniel Ademinokan's Ex Wife, Acquires New Toy, Stuns In New",cleangurl,0,593,3:29pm,"Aug 29, 2013",EntertainmentDB
2703,Tope Alabi Finally Speaks Out On PROPHET AJANAKU’S DEATH,Nobody,2,1940,3:24pm,"Aug 29, 2013",EntertainmentDB
2704,Oxford Dictionaries Makes A Surprising Addition.,zeux250,0,316,2:45pm,"Aug 29, 2013",EntertainmentDB
2705,Yvonne Jegede Is Back! Releases Hot New Photos...,cleangurl,2,3289,2:40pm,"Aug 29, 2013",EntertainmentDB
2706,Black Woman Currently Holds World Record For Longest Hair!,whirlwind7,5,1427,2:01pm,"Aug 29, 2013",EntertainmentDB
2707,Afro Candy Offers Beverly A Script In Her Movie. [porn],9jaHottest,0,347,7:02am,"Aug 29, 2013",EntertainmentDB
2708,Photo Of The Day!,prymesolution,0,339,5:30am,"Aug 29, 2013",EntertainmentDB
2709,A Nairalander And Friend Eating Amala,Donmichaelz,14,584,1:22am,"Aug 29, 2013",EntertainmentDB
2710,"Skelewu Madness: Man Decides To Dance Fully Unclad To Win Davido’s $ 3,000",XCASH,4,651,12:11am,"Aug 29, 2013",EntertainmentDB
2711,Blind Man Sues Blind Man For Enticing His Wife And Sleeping With Her,lobell,7,513,9:55pm,"Aug 28, 2013",EntertainmentDB
2712,Dance Crew And Choreographers Meet Here,yxizzy,2,419,8:42pm,"Aug 28, 2013",EntertainmentDB
2713,"Nigerian Pastor, Anselm Madubuko Surprises His Kenyan Lover With A Range Rover",houseretail,2,1279,8:06pm,"Aug 28, 2013",EntertainmentDB
2714,“rapper Mode 9 In Tears As Nobody Bought His Latest Album”   Rugged Man Replies,quickygirl,9,1545,7:05pm,"Aug 28, 2013",EntertainmentDB
2715,Afrocandy Offers Beverly Osu A Role In Herr Soft Porn Movie,profeoo,0,488,5:37pm,"Aug 28, 2013",EntertainmentDB
2716,How Many Pictures Do You See?,Donmichaelz,17,407,5:17pm,"Aug 28, 2013",EntertainmentDB
2717,Davido Back To Single Mode,9jantatainment,0,339,1:05pm,"Aug 28, 2013",EntertainmentDB
2718,Are You Talented In Singing Here Komes Your Chance.,kijames,0,264,11:40am,"Aug 28, 2013",EntertainmentDB
2719,Peter Psquare Rains Dollar Bills On Strippers In A Chicago Strip Club (photos),bamguy,5,2128,11:30am,"Aug 28, 2013",EntertainmentDB
2720,Gbenga Adeyinka Carried Away Looking Into KWAM 1's Daughter's Booty,Ashmark,2,619,11:05am,"Aug 28, 2013",EntertainmentDB
2721,WONDERS!!! Farming TV Show,robedu,0,258,9:47am,"Aug 28, 2013",EntertainmentDB
2722,"""I Want To Be Like My Mother"" — Omotola’s Daughter",Nobody,2,509,9:33am,"Aug 28, 2013",EntertainmentDB
2723,Age Difference: Kaffy’s Aide Fires Back At Critics,houseretail,0,462,9:25am,"Aug 28, 2013",EntertainmentDB
2724,I Thought The Plane Was Going To America- Daniel Ihekina ( Airik Tyre Boy),omobarBlog,3,1929,9:03am,"Aug 28, 2013",EntertainmentDB
2725,Exclusive:-the World’s Fattest BOY!!! (PHOTOS),TalkNews,13,2032,8:36am,"Aug 28, 2013",EntertainmentDB
2726,Pics From Ngozi Nwosu's 50th Birthday Old School Party,whispernaija2,5,1090,8:06am,"Aug 28, 2013",EntertainmentDB
2727,"Crazy Nigerian Dancer At The Notting Hill Carnival, UK",bamguy,2,690,7:40am,"Aug 28, 2013",EntertainmentDB
2728,KWAM 1's Daughter Honey B Shows Off Her Sexy Body On Stage,kmanning,3,1341,6:25am,"Aug 28, 2013",EntertainmentDB
2729,Chris Brown And Karrueche Tran Cuddle Up On The Beach In Hawaii,bamguy,0,2447,6:00am,"Aug 28, 2013",EntertainmentDB
2730,Meet Mr Africa International - Jaydon Anderson From Botswana The 2013 Mr Africa,whispernaija2,2,2124,5:24am,"Aug 28, 2013",EntertainmentDB
2731,"D'banj,burna Boy Others Shut Down P'harcourt For Hennessy Artistry",blue2tt,6,713,5:11am,"Aug 28, 2013",EntertainmentDB
2732,"The Major Reason Nigeria Did Not Win Big Brother Africa ""The Chase""",francababy,6,1024,1:26am,"Aug 28, 2013",EntertainmentDB
2733,Your Top 10 OAP IN Nigeria.,mrcassanova,0,352,1:21am,"Aug 28, 2013",EntertainmentDB
2734,"Chris Brown Looks,: Before And After The Mulla",Nobody,0,5284,10:46pm,"Aug 27, 2013",EntertainmentDB
2735,Genevieve Nnaji And Dr Sid Are Back Together,9jaHottest,0,520,10:36pm,"Aug 27, 2013",EntertainmentDB
2736,Pick Only Two.,Nobody,3,353,9:50pm,"Aug 27, 2013",EntertainmentDB
2737,BREAKING NEWS: Beverly & Melvin Return To Nigeria After Bbathechase,nairalandaddict,0,536,9:40pm,"Aug 27, 2013",EntertainmentDB
2738,Watch Ese Walter`s Performance At The On-going GLO X-FACTOR Audition.!!!,nairalandaddict,0,345,8:31pm,"Aug 27, 2013",EntertainmentDB
2739,Don't Miss This? Video: Two Live Snake Caught Mating Inside Small Bush In Enugu,obynocj,4,1214,8:05pm,"Aug 27, 2013",EntertainmentDB
2740,What Was Your First Social Networking Site Or Chatting Site And Your Experience?,SpicyMimi,11,577,7:45pm,"Aug 27, 2013",EntertainmentDB
2741,Funny Video : How Guys React When A Girl Is Finally Off Her Period!,Drock4christ,4,2889,7:24pm,"Aug 27, 2013",EntertainmentDB
2742,Men Or Women....which Is Happier???,Nobody,0,237,4:29pm,"Aug 27, 2013",EntertainmentDB
2743,Introducing The Myboomba TOF Show (true Or False),sptbest,0,253,4:03pm,"Aug 27, 2013",EntertainmentDB
2744,.,Amodsun,0,490,2:15pm,"Aug 27, 2013",EntertainmentDB
2745,What Are The Common Lies Everyone Tells On Daily Basis Or Frequently,Chukzy001,0,353,2:04pm,"Aug 27, 2013",EntertainmentDB
2746,Governor Declears State Of Emergency At Bodija Market Ibadan,infocent930,3,288,1:57pm,"Aug 27, 2013",EntertainmentDB
2747,Beverly Osu Is Hot! - Chude Jideonwo (co Founder Of The Future Awards),iamHip,0,700,1:42pm,"Aug 27, 2013",EntertainmentDB
2748,Governor Declears State Of Emergency At Bodija Market Ibadan,infocent930,0,253,1:39pm,"Aug 27, 2013",EntertainmentDB
2749,Broke Fan Comments: J.martins Blasts Wizkid,abdulkayus,4,439,1:32pm,"Aug 27, 2013",EntertainmentDB
2750,Frank Edoho And I Should Never Have Gotten Married’ – Katherine Obiang,Frabidel,0,975,12:55pm,"Aug 27, 2013",EntertainmentDB
2751,Photo: Genevieve Nnaji And Dr Sid Are Back Together?,Frabidel,0,399,12:42pm,"Aug 27, 2013",EntertainmentDB
2752,What Kind Of Dance Is This?,nairalandaddict,6,1013,11:23am,"Aug 27, 2013",EntertainmentDB
2753,Thread To Know The State That Dominate Nairaland,moscobabs,17,369,10:05am,"Aug 27, 2013",EntertainmentDB
2754,Miley's Chicken Nyash,Nobody,12,952,9:38am,"Aug 27, 2013",EntertainmentDB
2755,The Secret Harmful Power Of Cow,canalily,0,315,6:37am,"Aug 27, 2013",EntertainmentDB
2756,Kevin Hart Takes 'real Husbands Of Hollywood' Beef With Robin Thicke To The VMA,badoski2k3,0,417,3:58am,"Aug 27, 2013",EntertainmentDB
2757,Lady Gaga Comes Out Of The Closet As Confirms That She's bisexual,badoski2k3,0,1822,3:33am,"Aug 27, 2013",EntertainmentDB
2758,Big Brother The Chase Hangout With Winner Dillish. Watch This,badoski2k3,0,405,3:23am,"Aug 27, 2013",EntertainmentDB
2759,Listen To This Song And Thank Me Later,klintos,0,361,2:10am,"Aug 27, 2013",EntertainmentDB
2760,Wizkid Replied J.martins Diss But J.martins Denied Dissing Him.,wonderboyjay,0,738,1:29am,"Aug 27, 2013",EntertainmentDB
2761,Men See Why You Shouldn't Ask Out Women With Make-up,nairalandaddict,4,1141,12:35am,"Aug 27, 2013",EntertainmentDB
2762,Confirmed! Pastor Biodun Is Innocent!,Ideyontop,7,492,12:21am,"Aug 27, 2013",EntertainmentDB
2763,"""Good Man And Good Family, That's What I Ask God For""- Genevieve Nnaji",omobarBlog,3,409,6:20pm,"Aug 26, 2013",EntertainmentDB
2764,How Africa Voted At The Big Brother Africa (the Chase) Finale,abdulkayus,2,471,5:46pm,"Aug 26, 2013",EntertainmentDB
2765,Beverly And Melvin Embarassed By BBA Host I.K,Harrybanty,2,632,5:43pm,"Aug 26, 2013",EntertainmentDB
2766,Mystery Yam Dug Out From The Ground,princeokek,0,1315,5:28pm,"Aug 26, 2013",EntertainmentDB
2767,BBAthechase -prize Money Missing,Jiteshell,0,469,4:27pm,"Aug 26, 2013",EntertainmentDB
2768,BREAKING News:dillish Wins Big Brother The Chase 2013 #bbathechase,nairalandaddict,2,1719,11:32am,"Aug 26, 2013",EntertainmentDB
2769,Big Brother Africa: Who Do You Think Will Win The Grand Prize?,kafi123,3,1059,9:35am,"Aug 26, 2013",EntertainmentDB
2770,List Of 2013 Mtv Vmas Award Winners,Rockers4l,0,350,9:28am,"Aug 26, 2013",EntertainmentDB
2771,Big Brother Africa-the Chase: How Nigeria Was Used,Dzeimzb,5,620,8:57am,"Aug 26, 2013",EntertainmentDB
2772,Top 10 Naija Artists According To Notjustok,Bryancrox,7,602,8:31am,"Aug 26, 2013",EntertainmentDB
2773,Delish Just Won Big Brother Africa The Chase,KELVIN086,52,12343,12:07am,"Aug 26, 2013",EntertainmentDB
2774,Melvin & Beverly Evicted As Namibia’s Dilish Wins Big Brother Africa The Chase,Deivid10,3,1348,11:58pm,"Aug 25, 2013",EntertainmentDB
2775,Dillish Wins BBA,treatise,0,314,11:06pm,"Aug 25, 2013",EntertainmentDB
2776,"BREAKING! Namibian Beauty,dillish Wins Big Brother Africa2013 #bbathechase »",Witwicky,3,328,11:02pm,"Aug 25, 2013",EntertainmentDB
2777,"Dilish Is At It,she Won $300,000 Of Bba.wow",Aydesmond,3,367,10:17pm,"Aug 25, 2013",EntertainmentDB
2778,Dillish Wins Big Brother Africa 'the Chase',niceface,3,467,10:10pm,"Aug 25, 2013",EntertainmentDB
2779,Big Brother Africa Winner Announced,RazziP,2,257,10:09pm,"Aug 25, 2013",EntertainmentDB
2780,Dilish Of Nambia Won The Bba Chase 2013,YINKS89,10,556,9:56pm,"Aug 25, 2013",EntertainmentDB
2781,Bba{the Chase}-who Do U Tink Will Win•,kubumilano,6,361,9:18pm,"Aug 25, 2013",EntertainmentDB
2782,Stunning Dillish Wins Big Brother Africa - The Chase,kmanning,3,481,9:18pm,"Aug 25, 2013",EntertainmentDB
2783,"Dillish Wins Big Brother, The Chase, 2013 For The Ladies!",Wahala90,3,390,9:15pm,"Aug 25, 2013",EntertainmentDB
2784,PHOTO: Guy Tatoos A Girls Pus**y On His Armpit.. EEEEWWWWWW,Nobody,4,8188,9:10pm,"Aug 25, 2013",EntertainmentDB
2785,!,Gialmine,4,980,8:47pm,"Aug 25, 2013",EntertainmentDB
2786,Dillish Wins Big Brother Africa#thechase# 2013,omobarBlog,0,952,8:25pm,"Aug 25, 2013",EntertainmentDB
2787,Will U Allow Your Fiancee /fiance Go For Big Brother Africa?,Ifyikillz,0,307,8:12pm,"Aug 25, 2013",EntertainmentDB
2788,The Winner Of The BBA Chase Is Dillish,9jantatainment,6,640,8:00pm,"Aug 25, 2013",EntertainmentDB
2789,Nambian '' Dellish'' Won BBA The Chase 2013,habeeb246,0,460,7:57pm,"Aug 25, 2013",EntertainmentDB
2790,Breakingnews: The Chase Prize-money Reported Missing From Foreign Bank-account!!,GLeesMODEL,0,387,7:56pm,"Aug 25, 2013",EntertainmentDB
2791,Beverly Osu Has Been Evicted From BBA,habeeb246,0,329,7:42pm,"Aug 25, 2013",EntertainmentDB
2792,"HUMILIATION: American Star, Brandy Performs For Empty Seats In South Africa",GLeesMODEL,4,598,6:09pm,"Aug 25, 2013",EntertainmentDB
2793,"Enrol Today For Our Ankara Accessories, Shoe And Bag, Wire Work And Beads Traini",Afioluwake,0,364,4:14pm,"Aug 25, 2013",EntertainmentDB
2794,Funke Akindele Disowns Fake Facebook Account,Akporugo247,0,244,2:40pm,"Aug 25, 2013",EntertainmentDB
2795,Rihanna Is Spotted Out On A Romantic Date...with Rapper Drake.,123gist,0,475,2:11pm,"Aug 25, 2013",EntertainmentDB
2796,FAB TV Launches The FAB Lounge Show | Watch The Teaser,mrcassanova,0,292,1:17pm,"Aug 25, 2013",EntertainmentDB
2797,Who Said Neymar Wouldn't Adapt At Barcelona? See How Much Fun He Is Having So Fa,badoski2k3,0,240,12:25pm,"Aug 25, 2013",EntertainmentDB
2798,8 Years Old Boy Shoots His Grandmother In The Head!,123gist,7,652,12:16pm,"Aug 25, 2013",EntertainmentDB
2799,"Nigeria Deports 22000 Illegal Immigrants To Chad, Niger & Cameroon To Combat Ter",Elcapo,0,360,12:15pm,"Aug 25, 2013",EntertainmentDB
2800,Teenage Boy Arrested In Arik Flight From Benin To Lagos,123gist,0,351,10:26am,"Aug 25, 2013",EntertainmentDB
2801,Daughter Of New Zealand Prime Minister In Bizarre Photoshoot,sheyispices,0,1351,10:03am,"Aug 25, 2013",EntertainmentDB
2802,Federal Government Partner With D'banj,naijacenter,9,379,8:14am,"Aug 25, 2013",EntertainmentDB
2803,First Ever “mask Invasion” Fashion/exhibition Takes Centre Stage In Abuja!!!,GLeesMODEL,0,747,7:24am,"Aug 25, 2013",EntertainmentDB
2804,Tennis Player Reacts To Little Boy's Wedding Proposal,badoski2k3,0,325,1:02am,"Aug 25, 2013",EntertainmentDB
2805,Yvonne Nelson Pictured With Aliaune Damala Dakha Bouga Time Puru Nacka Lu Lu Lu,9jantatainment,2,1035,8:45pm,"Aug 24, 2013",EntertainmentDB
2806,Don Jazzy And D’banj: Gains And Losses Of Mo’hits Breakup,jonespage200154,2,377,8:42pm,"Aug 24, 2013",EntertainmentDB
2807,Why We Have No Respect For Groupies ( Interested In Sex With A Celeb ),jonespage200154,0,1379,6:57pm,"Aug 24, 2013",EntertainmentDB
2808,Who Wants Yvonne Nelson Dead?,9jantatainment,2,342,6:51pm,"Aug 24, 2013",EntertainmentDB
2809,Davido Perfoms Skelewu In Kenya At Boombaataa Festival,Rockers4l,2,408,5:14pm,"Aug 24, 2013",EntertainmentDB
2810,"Nigerian Forbes Billionaire, Michael  Adenuga To Buy N 48.9 Billion Cruise Yatch",Frabidel,4,485,5:02pm,"Aug 24, 2013",EntertainmentDB
2811,Photo- Prophet Warns Fashola To Reopen Yaba Market Or Risk Losing His Children,noblesomto,2,395,4:41pm,"Aug 24, 2013",EntertainmentDB
2812,"How I Survived Cancer – Vast Of Singing Group, Bracket",noblesomto,3,365,3:54pm,"Aug 24, 2013",EntertainmentDB
2813,Photos:’the King Of Gypsies’ Laid To Rest… In An Air-conditioned Coffin,ankpask10,0,391,3:37pm,"Aug 24, 2013",EntertainmentDB
2814,Why Is It That The Best Browsing Network Is Found In The Toilet?,Ancecoker,4,298,3:16pm,"Aug 24, 2013",EntertainmentDB
2815,Its Few Dais To The Zelfazion Workshop,Afioluwake,0,241,12:56pm,"Aug 24, 2013",EntertainmentDB
2816,Info On Igbinedion University Okada,TeeJay22,2,480,12:37pm,"Aug 24, 2013",EntertainmentDB
2817,Uchechi Ndoh Portrait Painting By Ayeola Ayodeji Abiodun,sandraehiz,0,1067,12:00pm,"Aug 24, 2013",EntertainmentDB
2818,"BBA: I wasnt Intimate With Beverly- Angelo Deies, After Eviction",Adehwale,2,532,11:41am,"Aug 24, 2013",EntertainmentDB
2819,Lady Gaga: Hip Surgery Has Improved My Dance!,latifa123,0,1020,11:19am,"Aug 24, 2013",EntertainmentDB
